,Central Europe and the Baltics,United Kingdom,United States,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Mexico,Russian Federation,Saudi Arabia,South Africa,"Korea, Rep.",Turkey
1991,27.5205979031883,21.8850425330959,9.63601970378243,7.67504334832217,16.0240610046119,8.67697309491424,24.337257044303,15.2785718544371,21.1683948402715,23.7298392201544,8.58347818086902,27.3746956476627,17.0891662547147,9.87614411429314,16.364870655779,13.2713621737576,38.3083885701527,21.0980437990329,24.1527027275939,13.8411301141106
1992,31.3003976250217,22.2027030513114,9.68074712595341,6.5981874720374,16.6496654057398,10.8682492540862,26.1798918743776,16.1275790362022,21.1492196358154,22.2637024278602,8.93582750556626,29.3916720697079,17.5337296449926,9.77091773421051,15.2377932478298,62.3224618621778,39.1067993851593,20.7037368101469,24.6267209334154,14.3922357339889
1993,28.4500047147904,24.0510977570669,9.51921564454307,6.90935166055555,17.5261882857329,10.5032702366843,29.132107095277,17.9647055072155,20.6101685469573,20.3544079380058,9.93753217389551,26.7548134217247,20.4627466405788,9.05884741106158,12.1412755343991,38.2045944842866,34.3528303905564,21.8251291913125,24.1332302610637,13.673802849848
1994,29.3108557733887,25.2578612875002,9.86404661258997,7.52990988191423,17.9493161533358,9.66505138718782,32.7791900515132,19.2848292223079,21.4618850334431,21.1350113916374,9.99196554719515,26.5114278515733,21.9393320356716,9.0036501742541,13.3365503518247,27.7583790421613,34.0009515474104,21.4741865212511,24.2496876145664,21.3621312072128
1995,33.3864756314884,25.4323811982607,10.6055145706062,9.68049474531719,17.8597198427895,7.37255282703524,36.1050359903157,18.4359465470273,22.4059097102208,22.0064459049545,10.9578908269575,26.3121650131426,24.7494742686799,8.97179683136026,25.1735063714478,29.2894644732237,37.3378642359117,22.1355986308901,25.933521104169,19.8916075029397
1996,33.4147351838287,26.0142233172808,10.7107218697413,10.4285416392997,18.8677072043323,6.73016964936479,37.1091557636143,18.6476108216271,22.8224313912387,22.9086029320154,10.4942720904004,25.8245519820943,23.7629234935363,9.47906921723545,26.72858685047,26.0733140751071,40.0228422752332,24.0802633424255,25.2847399347551,21.5426581369532
1997,35.1689561621587,25.5084118420842,11.0797971543292,10.5607988827388,19.1075395785703,6.98369585196342,38.1431836637158,18.5380027472872,25.2426833387319,25.3919749477655,10.8030301137477,27.8592432831317,24.2002797356775,10.5488516641158,25.2309332319862,24.7299893276414,39.1586280021585,23.987330700296,28.977022783758,24.5817176843052
1998,35.1237348394742,23.9079962623992,10.4847990487138,10.4155150598808,19.5702704812061,7.03057112727977,40.0448097984093,18.761943910183,25.7957897401779,26.4533774644119,11.1342252169754,52.968134566078,24.1226896694636,10.5244802339333,25.7489271488853,31.221478551871,29.6323754522186,25.0050547621111,40.3892984398929,20.5683373541523
1999,35.0949487247584,23.7463584686718,10.2682808067057,9.82715687968877,18.3368760064412,9.56485684156913,41.8771952181081,18.6800446113484,25.7198938472147,27.0412324202859,11.5723758468091,35.5141290838601,23.2504895551058,9.9517600054498,25.4816914491087,43.2202687012772,34.6664938544479,24.6952092415361,33.5640716636319,18.5778590817683
2000,39.5808899766755,24.9679191534912,10.664643353056,10.986396203428,19.4130140661965,10.1881171852392,44.2374680237305,21.2356734935446,28.1734433984177,30.8295377230118,13.1337805581569,40.9773084738704,25.6577873429734,10.6244850068159,26.2767044118625,44.060720543145,43.4052706592712,27.1588800453122,35.0088777341264,19.448771835797
